aback= आश्चरचकित होणे, थक्क होणे, दचकून जाणे
pocketbook= नोंद करण्याची छोटी वही, , |
pocketful= खिसा भरेल एवढे , , |
pockmark= देवीचा वण असलेला , , |
pod= शेंग, , |
podge= छोटी लठ्ठ किंवा गुबगुबीत व्यक्ती, , |
podiatrist= मानवी पायाच्या अजारावर उपचार करणारा वैद्य, , |
podium= उंच व्यासपीठ , , |
poem= कविता, , |
poesy= काव्य, , |
poet= कवी, , |
poetaster= निकृष्ट दर्जाचे काव्य करणारा कवी, , |
poetess= कवयत्री, , |
poetic= कवितेचा, , |
poetics= काव्यशास्त्र, , |
poetry= काव्य, , |
po-faced= नापसंतीदर्शक, , |
pogo= एकच ठिकाणी सतत वरखाली  उड्या मारत राहणे, , |
pogrom= एखाद्या विशिष्ट वांशिक किंवा धार्मिक गटाचा संघटीतपणे केलेला छळ किंवा कत्तल, , |
poignant= तीव्र , वेदनादायक, |
point= निमुळते टोक, , |
point-blank= थेट, , |
point duty= एकाठिकाणी नेमून दिलेले काम, , |
pointe= पायाच्या बोटाचे टोक, , |
pointed= टोक असणारे, , |
pointer= निर्देश  करणारी  व्यक्ती किंवा वस्तू, , |
pointless= बोथट, , |
pointsman= रेल्वेच्या सांध्यांची देखभाल करणारा कामगार, , |
pointy= टोकदार, , |
poise= समतोलपणा, , |
poison= विष, , |
poisonous= विषारी, , |
poke= खुपसणे, , |
poke= पूर्वी न पाहिलेली वस्तू, , |
poker= विस्तव हलवण्यासाठी  वापरण्यात येणारा लोखंडी गज, , |
poker= पत्त्यांचा एक खेळ, , |
poker face= निर्विकार चेहरा, , |
poky= लहान व गैरसोयीची, , |
polar= धृवप्रदेषीय, , |
polarity= परस्परविरोधी गुण, , |
polarization= ध्रुवीकरण, , |
polarize= दोन परस्परविरुद्ध  गटात विभाजने , , |
Polaroid= सूर्यकिरणाची प्रखरता कमी वाटावी यासाठी वापरण्यात येणारी पातळ पारदर्शक फिल्म , , |
pole= खांब, काठी, |
pole= उत्तर किंवा दक्षिण ध्रुव, , |
poleaxe= परशु, , |
polecat= युरोपात आढळणारा दाट तपकिरी रंगाचा एक छोटा केसाळ प्राणी, , |
